<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
NVTK,60,20170517,140000,677.1000000
NVTK,60,20170517,150000,676.9000000
NVTK,60,20170517,160000,677.8000000
NVTK,60,20170517,170000,679.4000000
NVTK,60,20170517,180000,682.0000000
NVTK,60,20170517,190000,685.2000000
NVTK,60,20170518,110000,692.3000000
NVTK,60,20170518,120000,689.2000000
NVTK,60,20170518,130000,688.6000000
NVTK,60,20170518,140000,690.0000000
NVTK,60,20170518,150000,690.9000000
NVTK,60,20170518,160000,685.8000000
NVTK,60,20170518,170000,682.2000000
NVTK,60,20170518,180000,677.7000000
NVTK,60,20170518,190000,677.7000000
NVTK,60,20170519,110000,675.0000000
NVTK,60,20170519,120000,685.9000000
NVTK,60,20170519,130000,687.2000000
NVTK,60,20170519,140000,687.4000000
NVTK,60,20170519,150000,684.0000000
NVTK,60,20170519,160000,688.6000000
NVTK,60,20170519,170000,688.6000000
NVTK,60,20170519,180000,684.4000000
NVTK,60,20170519,190000,684.4000000
NVTK,60,20170522,110000,675.2000000
NVTK,60,20170522,120000,684.7000000
NVTK,60,20170522,130000,681.5000000
NVTK,60,20170522,140000,680.5000000
NVTK,60,20170522,150000,680.2000000
NVTK,60,20170522,160000,678.3000000
NVTK,60,20170522,170000,678.6000000
NVTK,60,20170522,180000,680.0000000
NVTK,60,20170522,190000,680.0000000
NVTK,60,20170523,110000,677.6000000
NVTK,60,20170523,120000,678.0000000
NVTK,60,20170523,130000,676.5000000
NVTK,60,20170523,140000,678.0000000
NVTK,60,20170523,150000,681.5000000
NVTK,60,20170523,160000,680.0000000
NVTK,60,20170523,170000,679.7000000
NVTK,60,20170523,180000,680.9000000
NVTK,60,20170523,190000,681.0000000
NVTK,60,20170524,110000,679.1000000
NVTK,60,20170524,120000,680.4000000
NVTK,60,20170524,130000,680.1000000
NVTK,60,20170524,140000,680.6000000
NVTK,60,20170524,150000,683.6000000
NVTK,60,20170524,160000,682.9000000
NVTK,60,20170524,170000,684.0000000
NVTK,60,20170524,180000,686.5000000
NVTK,60,20170524,190000,687.0000000
NVTK,60,20170525,110000,683.6000000
NVTK,60,20170525,120000,679.0000000
NVTK,60,20170525,130000,679.0000000
NVTK,60,20170525,140000,681.2000000
NVTK,60,20170525,150000,687.5000000
NVTK,60,20170525,160000,686.6000000
NVTK,60,20170525,170000,685.3000000
NVTK,60,20170525,180000,683.1000000
NVTK,60,20170525,190000,680.1000000
NVTK,60,20170526,110000,676.3000000
NVTK,60,20170526,120000,676.9000000
NVTK,60,20170526,130000,677.4000000
NVTK,60,20170526,140000,678.5000000
NVTK,60,20170526,150000,677.2000000
NVTK,60,20170526,160000,672.2000000
NVTK,60,20170526,170000,671.8000000
NVTK,60,20170526,180000,666.5000000
NVTK,60,20170526,190000,658.2000000
NVTK,60,20170529,110000,661.5000000
NVTK,60,20170529,120000,653.3000000
NVTK,60,20170529,130000,647.4000000
NVTK,60,20170529,140000,648.6000000
NVTK,60,20170529,150000,650.2000000
NVTK,60,20170529,160000,650.5000000
NVTK,60,20170529,170000,648.5000000
NVTK,60,20170529,180000,645.2000000
NVTK,60,20170529,190000,650.0000000
NVTK,60,20170530,110000,656.8000000
NVTK,60,20170530,120000,653.4000000
NVTK,60,20170530,130000,654.6000000
NVTK,60,20170530,140000,653.9000000
NVTK,60,20170530,150000,655.0000000
NVTK,60,20170530,160000,653.8000000
NVTK,60,20170530,170000,653.7000000
NVTK,60,20170530,180000,652.6000000
NVTK,60,20170530,190000,650.6000000
NVTK,60,20170531,110000,650.6000000
NVTK,60,20170531,120000,650.3000000
NVTK,60,20170531,130000,645.0000000
NVTK,60,20170531,140000,641.6000000
NVTK,60,20170531,150000,642.9000000
NVTK,60,20170531,160000,643.0000000
NVTK,60,20170531,170000,643.1000000
NVTK,60,20170531,180000,639.5000000
NVTK,60,20170531,190000,641.0000000
NVTK,60,20170601,110000,635.1000000
NVTK,60,20170601,120000,622.1000000
NVTK,60,20170601,130000,623.5000000
NVTK,60,20170601,140000,624.4000000
NVTK,60,20170601,150000,622.8000000
