<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SANDP-FUT,60,20200220,100000,3387.0000000
SANDP-FUT,60,20200220,120000,3350.2000000
SANDP-FUT,60,20200220,130000,3364.8000000
SANDP-FUT,60,20200220,150000,3370.0000000
SANDP-FUT,60,20200220,160000,3369.2000000
SANDP-FUT,60,20200220,180000,3357.6000000
SANDP-FUT,60,20200220,190000,3360.9000000
SANDP-FUT,60,20200220,200000,3360.7000000
SANDP-FUT,60,20200220,210000,3358.2000000
SANDP-FUT,60,20200221,000000,3355.2000000
SANDP-FUT,60,20200221,050000,3354.4000000
SANDP-FUT,60,20200221,070000,3362.1000000
SANDP-FUT,60,20200221,090000,3356.0000000
SANDP-FUT,60,20200221,100000,3342.0000000
SANDP-FUT,60,20200221,120000,3343.5000000
SANDP-FUT,60,20200221,130000,3338.0000000
SANDP-FUT,60,20200221,140000,3334.0000000
SANDP-FUT,60,20200221,160000,3339.3000000
SANDP-FUT,60,20200223,180000,3293.3000000
SANDP-FUT,60,20200223,190000,3297.3000000
SANDP-FUT,60,20200223,200000,3299.0000000
SANDP-FUT,60,20200223,210000,3285.9000000
SANDP-FUT,60,20200223,220000,3287.3000000
SANDP-FUT,60,20200224,020000,3287.2000000
SANDP-FUT,60,20200224,030000,3264.5000000
SANDP-FUT,60,20200224,040000,3259.2000000
SANDP-FUT,60,20200224,050000,3246.0000000
SANDP-FUT,60,20200224,060000,3258.9000000
SANDP-FUT,60,20200224,070000,3261.0000000
SANDP-FUT,60,20200224,080000,3247.0000000
SANDP-FUT,60,20200224,100000,3248.0000000
SANDP-FUT,60,20200224,110000,3235.5000000
SANDP-FUT,60,20200224,120000,3226.0000000
SANDP-FUT,60,20200224,130000,3230.2000000
SANDP-FUT,60,20200224,140000,3241.0000000
SANDP-FUT,60,20200224,150000,3238.5000000
SANDP-FUT,60,20200224,160000,3224.0000000
SANDP-FUT,60,20200224,180000,3231.8000000
SANDP-FUT,60,20200224,190000,3247.4000000
SANDP-FUT,60,20200224,200000,3255.0000000
SANDP-FUT,60,20200224,210000,3247.3000000
SANDP-FUT,60,20200225,030000,3246.3000000
SANDP-FUT,60,20200225,040000,3239.3000000
SANDP-FUT,60,20200225,050000,3231.1000000
SANDP-FUT,60,20200225,060000,3230.4000000
SANDP-FUT,60,20200225,070000,3237.8000000
SANDP-FUT,60,20200225,080000,3239.9000000
SANDP-FUT,60,20200225,090000,3232.0000000
SANDP-FUT,60,20200225,100000,3194.5000000
SANDP-FUT,60,20200225,110000,3192.0000000
SANDP-FUT,60,20200225,120000,3171.5000000
SANDP-FUT,60,20200225,130000,3155.0000000
SANDP-FUT,60,20200225,140000,3139.0000000
SANDP-FUT,60,20200225,150000,3123.0000000
SANDP-FUT,60,20200225,160000,3140.8000000
SANDP-FUT,60,20200225,180000,3151.8000000
SANDP-FUT,60,20200225,190000,3135.4000000
SANDP-FUT,60,20200225,200000,3143.8000000
SANDP-FUT,60,20200225,210000,3155.0000000
SANDP-FUT,60,20200225,230000,3151.8000000
SANDP-FUT,60,20200226,010000,3133.9000000
SANDP-FUT,60,20200226,020000,3141.9000000
SANDP-FUT,60,20200226,030000,3123.9000000
SANDP-FUT,60,20200226,040000,3113.6000000
SANDP-FUT,60,20200226,050000,3121.0000000
SANDP-FUT,60,20200226,060000,3138.8000000
SANDP-FUT,60,20200226,070000,3137.4000000
SANDP-FUT,60,20200226,080000,3147.5000000
SANDP-FUT,60,20200226,090000,3159.2000000
SANDP-FUT,60,20200226,100000,3175.0000000
SANDP-FUT,60,20200226,110000,3155.0000000
SANDP-FUT,60,20200226,120000,3143.0000000
SANDP-FUT,60,20200226,130000,3120.0000000
SANDP-FUT,60,20200226,140000,3116.0000000
SANDP-FUT,60,20200226,150000,3119.0000000
SANDP-FUT,60,20200226,160000,3101.5000000
SANDP-FUT,60,20200226,180000,3103.6000000
SANDP-FUT,60,20200226,190000,3098.4000000
SANDP-FUT,60,20200226,200000,3086.5000000
SANDP-FUT,60,20200226,210000,3076.4000000
SANDP-FUT,60,20200226,220000,3073.0000000
SANDP-FUT,60,20200226,230000,3062.0000000
SANDP-FUT,60,20200227,000000,3062.3000000
SANDP-FUT,60,20200227,010000,3083.6000000
SANDP-FUT,60,20200227,020000,3088.4000000
SANDP-FUT,60,20200227,030000,3094.3000000
SANDP-FUT,60,20200227,040000,3091.3000000
SANDP-FUT,60,20200227,050000,3087.4000000
SANDP-FUT,60,20200227,060000,3084.8000000
SANDP-FUT,60,20200227,070000,3070.9000000
SANDP-FUT,60,20200227,080000,3062.2000000
SANDP-FUT,60,20200227,100000,3030.0000000
SANDP-FUT,60,20200227,110000,3062.0000000
SANDP-FUT,60,20200227,130000,3070.0000000
SANDP-FUT,60,20200227,140000,3035.0000000
SANDP-FUT,60,20200227,150000,3020.0000000
SANDP-FUT,60,20200227,160000,2950.3000000
SANDP-FUT,60,20200227,180000,2968.3000000
SANDP-FUT,60,20200227,190000,2965.7000000
SANDP-FUT,60,20200227,200000,2965.6000000
SANDP-FUT,60,20200227,210000,2956.9000000
SANDP-FUT,60,20200227,220000,2927.1000000
SANDP-FUT,60,20200227,230000,2937.1000000
SANDP-FUT,60,20200228,000000,2909.8000000
SANDP-FUT,60,20200228,010000,2906.6000000
SANDP-FUT,60,20200228,020000,2924.6000000
SANDP-FUT,60,20200228,030000,2913.2000000
SANDP-FUT,60,20200228,040000,2904.4000000
SANDP-FUT,60,20200228,050000,2930.7000000
SANDP-FUT,60,20200228,060000,2928.2000000
SANDP-FUT,60,20200228,070000,2938.8000000
SANDP-FUT,60,20200228,080000,2901.6000000
SANDP-FUT,60,20200228,090000,2873.0000000
SANDP-FUT,60,20200228,100000,2883.0000000
SANDP-FUT,60,20200228,110000,2942.0000000
SANDP-FUT,60,20200228,120000,2939.0000000
SANDP-FUT,60,20200228,130000,2938.0000000
SANDP-FUT,60,20200228,140000,2905.0000000
SANDP-FUT,60,20200228,150000,2908.0000000
SANDP-FUT,60,20200228,160000,2993.2000000
SANDP-FUT,60,20200301,180000,2918.1000000
SANDP-FUT,60,20200301,190000,2918.2000000
SANDP-FUT,60,20200301,200000,2945.5000000
SANDP-FUT,60,20200301,210000,2975.1000000
SANDP-FUT,60,20200301,220000,2969.3000000
SANDP-FUT,60,20200301,230000,2958.7000000
SANDP-FUT,60,20200302,000000,2969.4000000
SANDP-FUT,60,20200302,010000,2963.4000000
SANDP-FUT,60,20200302,020000,3004.5000000
SANDP-FUT,60,20200302,030000,3000.3000000
SANDP-FUT,60,20200302,040000,2963.2000000
SANDP-FUT,60,20200302,050000,2958.3000000
SANDP-FUT,60,20200302,060000,2910.7000000
SANDP-FUT,60,20200302,070000,2941.7000000
SANDP-FUT,60,20200302,080000,2954.2000000
SANDP-FUT,60,20200302,090000,2970.0000000
SANDP-FUT,60,20200302,100000,2961.0000000
SANDP-FUT,60,20200302,110000,3026.0000000
SANDP-FUT,60,20200302,120000,3031.0000000
SANDP-FUT,60,20200302,130000,3010.0000000
SANDP-FUT,60,20200302,140000,3007.0000000
SANDP-FUT,60,20200302,150000,3070.0000000
SANDP-FUT,60,20200302,160000,3070.2000000
SANDP-FUT,60,20200302,180000,3083.4000000
SANDP-FUT,60,20200302,190000,3090.5000000
SANDP-FUT,60,20200302,200000,3074.4000000
SANDP-FUT,60,20200302,210000,3075.3000000
SANDP-FUT,60,20200302,220000,3081.8000000
SANDP-FUT,60,20200302,230000,3065.8000000
SANDP-FUT,60,20200303,000000,3070.6000000
SANDP-FUT,60,20200303,010000,3070.2000000
SANDP-FUT,60,20200303,020000,3071.1000000
SANDP-FUT,60,20200303,030000,3086.3000000
SANDP-FUT,60,20200303,040000,3092.7000000
SANDP-FUT,60,20200303,050000,3092.1000000
SANDP-FUT,60,20200303,060000,3077.0000000
SANDP-FUT,60,20200303,070000,3066.5000000
SANDP-FUT,60,20200303,080000,3070.1000000
SANDP-FUT,60,20200303,090000,3069.0000000
SANDP-FUT,60,20200303,100000,3103.0000000
SANDP-FUT,60,20200303,110000,3053.0000000
SANDP-FUT,60,20200303,120000,3051.0000000
SANDP-FUT,60,20200303,130000,3026.0000000
SANDP-FUT,60,20200303,140000,2985.0000000
SANDP-FUT,60,20200303,150000,3005.0000000
SANDP-FUT,60,20200303,160000,2990.1000000
SANDP-FUT,60,20200303,180000,2985.3000000
SANDP-FUT,60,20200303,190000,3018.6000000
SANDP-FUT,60,20200303,200000,3017.3000000
SANDP-FUT,60,20200303,210000,3027.2000000
SANDP-FUT,60,20200303,220000,3033.0000000
SANDP-FUT,60,20200303,230000,3026.8000000
SANDP-FUT,60,20200304,000000,3039.9000000
SANDP-FUT,60,20200304,010000,3032.3000000
SANDP-FUT,60,20200304,020000,3043.4000000
SANDP-FUT,60,20200304,030000,3049.5000000
SANDP-FUT,60,20200304,040000,3055.1000000
SANDP-FUT,60,20200304,050000,3055.1000000
SANDP-FUT,60,20200304,060000,3058.3000000
SANDP-FUT,60,20200304,070000,3063.8000000
SANDP-FUT,60,20200304,080000,3056.3000000
SANDP-FUT,60,20200304,090000,3031.0000000
SANDP-FUT,60,20200304,100000,3051.0000000
SANDP-FUT,60,20200304,110000,3047.5000000
SANDP-FUT,60,20200304,120000,3067.5000000
SANDP-FUT,60,20200304,130000,3084.0000000
SANDP-FUT,60,20200304,150000,3095.0000000
SANDP-FUT,60,20200304,160000,3109.2000000
SANDP-FUT,60,20200304,180000,3102.1000000
SANDP-FUT,60,20200304,200000,3094.9000000
SANDP-FUT,60,20200304,210000,3092.2000000
SANDP-FUT,60,20200304,220000,3087.0000000
SANDP-FUT,60,20200305,000000,3099.7000000
SANDP-FUT,60,20200305,010000,3097.8000000
SANDP-FUT,60,20200305,020000,3086.7000000
SANDP-FUT,60,20200305,030000,3073.7000000
SANDP-FUT,60,20200305,040000,3065.8000000
SANDP-FUT,60,20200305,050000,3050.0000000
SANDP-FUT,60,20200305,060000,3053.3000000
SANDP-FUT,60,20200305,070000,3055.3000000
SANDP-FUT,60,20200305,080000,3044.1000000
SANDP-FUT,60,20200305,090000,3038.0000000
SANDP-FUT,60,20200305,100000,3067.0000000
SANDP-FUT,60,20200305,110000,3065.0000000
SANDP-FUT,60,20200305,120000,3021.0000000
SANDP-FUT,60,20200305,130000,3037.0000000
SANDP-FUT,60,20200305,140000,3025.0000000
SANDP-FUT,60,20200305,150000,3009.0000000
SANDP-FUT,60,20200305,160000,3023.7000000
SANDP-FUT,60,20200305,180000,3023.6000000
SANDP-FUT,60,20200305,190000,3032.9000000
SANDP-FUT,60,20200305,200000,3011.3000000
SANDP-FUT,60,20200305,210000,2993.7000000
SANDP-FUT,60,20200305,220000,2980.2000000
SANDP-FUT,60,20200306,000000,2974.3000000
SANDP-FUT,60,20200306,020000,2990.7000000
SANDP-FUT,60,20200306,030000,2983.8000000
SANDP-FUT,60,20200306,040000,2957.6000000
SANDP-FUT,60,20200306,050000,2941.4000000
SANDP-FUT,60,20200306,060000,2938.4000000
SANDP-FUT,60,20200306,070000,2927.5000000
SANDP-FUT,60,20200306,080000,2930.3000000
SANDP-FUT,60,20200306,090000,2926.0000000
SANDP-FUT,60,20200306,100000,2971.0000000
SANDP-FUT,60,20200306,120000,2947.0000000
SANDP-FUT,60,20200306,130000,2948.5000000
SANDP-FUT,60,20200306,140000,2905.0000000
SANDP-FUT,60,20200306,150000,2925.0000000
SANDP-FUT,60,20200306,160000,2961.9000000
SANDP-FUT,60,20200308,180000,2838.0000000
SANDP-FUT,60,20200308,190000,2821.7000000
SANDP-FUT,60,20200308,200000,2836.2000000
SANDP-FUT,60,20200308,210000,2831.1000000
SANDP-FUT,60,20200308,230000,2819.9000000
SANDP-FUT,60,20200309,030000,2819.0000000
SANDP-FUT,60,20200309,050000,2821.8000000
SANDP-FUT,60,20200309,100000,2788.0000000
SANDP-FUT,60,20200309,110000,2818.0000000
SANDP-FUT,60,20200309,120000,2794.0000000
SANDP-FUT,60,20200309,130000,2760.0000000
SANDP-FUT,60,20200309,140000,2762.0000000
SANDP-FUT,60,20200309,160000,2734.0000000
SANDP-FUT,60,20200309,180000,2760.0000000
SANDP-FUT,60,20200309,190000,2803.3000000
SANDP-FUT,60,20200309,210000,2818.0000000
SANDP-FUT,60,20200310,000000,2818.4000000
SANDP-FUT,60,20200310,010000,2839.5000000
SANDP-FUT,60,20200310,020000,2845.9000000
SANDP-FUT,60,20200310,030000,2815.6000000
SANDP-FUT,60,20200310,040000,2849.9000000
SANDP-FUT,60,20200310,050000,2874.3000000
SANDP-FUT,60,20200310,060000,2874.4000000
SANDP-FUT,60,20200310,070000,2851.8000000
SANDP-FUT,60,20200310,080000,2837.8000000
SANDP-FUT,60,20200310,090000,2822.0000000
SANDP-FUT,60,20200310,100000,2807.0000000
SANDP-FUT,60,20200310,120000,2775.0000000
SANDP-FUT,60,20200310,140000,2820.0000000
SANDP-FUT,60,20200310,150000,2868.0000000
SANDP-FUT,60,20200310,160000,2869.1000000
SANDP-FUT,60,20200310,180000,2836.0000000
SANDP-FUT,60,20200310,190000,2823.1000000
SANDP-FUT,60,20200310,200000,2816.7000000
SANDP-FUT,60,20200310,210000,2803.3000000
