<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,60,20171101,180000,126.0700000
GAZP,60,20171101,190000,126.5000000
GAZP,60,20171102,110000,125.6000000
GAZP,60,20171102,120000,125.7700000
GAZP,60,20171102,130000,125.8800000
GAZP,60,20171102,140000,125.7700000
GAZP,60,20171102,150000,125.5900000
GAZP,60,20171102,160000,125.2300000
GAZP,60,20171102,170000,125.2300000
GAZP,60,20171102,180000,125.2600000
GAZP,60,20171102,190000,125.6700000
GAZP,60,20171103,110000,126.0400000
GAZP,60,20171103,120000,126.6700000
GAZP,60,20171103,130000,126.3800000
GAZP,60,20171103,140000,126.3700000
GAZP,60,20171103,150000,126.3300000
GAZP,60,20171103,160000,126.6400000
GAZP,60,20171103,170000,126.5100000
GAZP,60,20171103,180000,126.2300000
GAZP,60,20171103,190000,125.9000000
GAZP,60,20171107,110000,127.3900000
GAZP,60,20171107,120000,129.7900000
GAZP,60,20171107,130000,129.6300000
GAZP,60,20171107,140000,130.3000000
GAZP,60,20171107,150000,131.5800000
GAZP,60,20171107,160000,132.3000000
GAZP,60,20171107,170000,131.7300000
GAZP,60,20171107,180000,131.9100000
GAZP,60,20171107,190000,132.2800000
GAZP,60,20171108,110000,133.0900000
GAZP,60,20171108,120000,133.6600000
GAZP,60,20171108,130000,133.6100000
GAZP,60,20171108,140000,133.5700000
GAZP,60,20171108,150000,133.0500000
GAZP,60,20171108,160000,132.8800000
GAZP,60,20171108,170000,133.1000000
GAZP,60,20171108,180000,132.7100000
GAZP,60,20171108,190000,132.3000000
GAZP,60,20171109,110000,131.9000000
GAZP,60,20171109,120000,132.2300000
GAZP,60,20171109,130000,132.2600000
GAZP,60,20171109,140000,132.2700000
GAZP,60,20171109,150000,132.4200000
GAZP,60,20171109,160000,132.2700000
GAZP,60,20171109,170000,132.3300000
GAZP,60,20171109,180000,131.7800000
GAZP,60,20171109,190000,131.5000000
GAZP,60,20171110,110000,131.3400000
GAZP,60,20171110,120000,131.0900000
GAZP,60,20171110,130000,130.7500000
GAZP,60,20171110,140000,132.4400000
GAZP,60,20171110,150000,132.6600000
GAZP,60,20171110,160000,133.0700000
GAZP,60,20171110,170000,132.8100000
GAZP,60,20171110,180000,132.1100000
GAZP,60,20171110,190000,132.5000000
GAZP,60,20171113,110000,133.0300000
GAZP,60,20171113,120000,133.4200000
GAZP,60,20171113,130000,133.0200000
GAZP,60,20171113,140000,132.9300000
GAZP,60,20171113,150000,132.9400000
GAZP,60,20171113,160000,133.0400000
GAZP,60,20171113,170000,133.2600000
GAZP,60,20171113,180000,133.6700000
GAZP,60,20171113,190000,133.3200000
GAZP,60,20171114,110000,133.9100000
GAZP,60,20171114,120000,134.0000000
GAZP,60,20171114,130000,133.5800000
GAZP,60,20171114,140000,133.7400000
GAZP,60,20171114,150000,133.2000000
GAZP,60,20171114,160000,132.8000000
GAZP,60,20171114,170000,132.8700000
GAZP,60,20171114,180000,132.9300000
GAZP,60,20171114,190000,132.9300000
GAZP,60,20171115,110000,131.8800000
GAZP,60,20171115,120000,132.0800000
GAZP,60,20171115,130000,131.9100000
GAZP,60,20171115,140000,131.8400000
GAZP,60,20171115,150000,131.9500000
GAZP,60,20171115,160000,131.8600000
GAZP,60,20171115,170000,131.9000000
GAZP,60,20171115,180000,131.6200000
GAZP,60,20171115,190000,131.2100000
GAZP,60,20171116,110000,132.4800000
GAZP,60,20171116,120000,131.6700000
GAZP,60,20171116,130000,130.8800000
GAZP,60,20171116,140000,130.9100000
GAZP,60,20171116,150000,130.7400000
GAZP,60,20171116,160000,128.8100000
GAZP,60,20171116,170000,129.0400000
GAZP,60,20171116,180000,130.1900000
GAZP,60,20171116,190000,129.2000000
GAZP,60,20171117,110000,129.8300000
GAZP,60,20171117,120000,130.3800000
GAZP,60,20171117,130000,130.2400000
GAZP,60,20171117,140000,130.2600000
GAZP,60,20171117,150000,130.2700000
GAZP,60,20171117,160000,130.1000000
GAZP,60,20171117,170000,130.1800000
GAZP,60,20171117,180000,130.4000000
GAZP,60,20171117,190000,129.6500000
GAZP,60,20171120,110000,129.9300000
GAZP,60,20171120,120000,129.3300000
GAZP,60,20171120,130000,129.6200000
GAZP,60,20171120,140000,129.0900000
GAZP,60,20171120,150000,129.9400000
GAZP,60,20171120,160000,129.9400000
GAZP,60,20171120,170000,129.6700000
GAZP,60,20171120,180000,129.6200000
GAZP,60,20171120,190000,129.9600000
GAZP,60,20171121,110000,131.5000000
GAZP,60,20171121,120000,131.5900000
GAZP,60,20171121,130000,131.8700000
GAZP,60,20171121,140000,132.4000000
GAZP,60,20171121,150000,132.8800000
GAZP,60,20171121,160000,132.8600000
GAZP,60,20171121,170000,131.8900000
GAZP,60,20171121,180000,131.6000000
GAZP,60,20171121,190000,132.4900000
GAZP,60,20171122,110000,132.8100000
GAZP,60,20171122,120000,133.3600000
GAZP,60,20171122,130000,133.2200000
GAZP,60,20171122,140000,133.2900000
GAZP,60,20171122,150000,133.3700000
GAZP,60,20171122,160000,132.8000000
GAZP,60,20171122,170000,132.8200000
GAZP,60,20171122,180000,132.6900000
GAZP,60,20171122,190000,132.5700000
GAZP,60,20171123,110000,131.8400000
GAZP,60,20171123,120000,132.7200000
GAZP,60,20171123,130000,132.2900000
GAZP,60,20171123,140000,132.3200000
GAZP,60,20171123,150000,132.2700000
GAZP,60,20171123,160000,132.2500000
GAZP,60,20171123,170000,132.1000000
GAZP,60,20171123,180000,131.6600000
GAZP,60,20171123,190000,131.6000000
GAZP,60,20171124,110000,132.0300000
GAZP,60,20171124,120000,133.3000000
GAZP,60,20171124,130000,133.4400000
GAZP,60,20171124,140000,133.3500000
GAZP,60,20171124,150000,134.0100000
GAZP,60,20171124,160000,133.9900000
GAZP,60,20171124,170000,133.5000000
GAZP,60,20171124,180000,133.3900000
GAZP,60,20171124,190000,133.5700000
GAZP,60,20171127,110000,135.1200000
GAZP,60,20171127,120000,134.3000000
GAZP,60,20171127,130000,134.2000000
GAZP,60,20171127,140000,133.9800000
GAZP,60,20171127,150000,134.1000000
GAZP,60,20171127,160000,132.8200000
GAZP,60,20171127,170000,133.3600000
GAZP,60,20171127,180000,133.5300000
GAZP,60,20171127,190000,133.5000000
GAZP,60,20171128,110000,133.7200000
GAZP,60,20171128,120000,133.3700000
GAZP,60,20171128,130000,133.1600000
GAZP,60,20171128,140000,132.8500000
GAZP,60,20171128,150000,133.5500000
GAZP,60,20171128,160000,133.7000000
GAZP,60,20171128,170000,134.1200000
GAZP,60,20171128,180000,134.7500000
GAZP,60,20171128,190000,135.1800000
GAZP,60,20171129,110000,134.2100000
GAZP,60,20171129,120000,134.0100000
GAZP,60,20171129,130000,133.8800000
GAZP,60,20171129,140000,133.7200000
GAZP,60,20171129,150000,133.6600000
GAZP,60,20171129,160000,133.3900000
GAZP,60,20171129,170000,133.1500000
GAZP,60,20171129,180000,133.1300000
GAZP,60,20171129,190000,133.5500000
GAZP,60,20171130,110000,132.5400000
GAZP,60,20171130,120000,133.1700000
GAZP,60,20171130,130000,133.6300000
GAZP,60,20171130,140000,134.1200000
GAZP,60,20171130,150000,134.0400000
GAZP,60,20171130,160000,133.5300000
GAZP,60,20171130,170000,134.0100000
GAZP,60,20171130,180000,133.2000000
GAZP,60,20171130,190000,132.1500000
GAZP,60,20171201,110000,132.6500000
GAZP,60,20171201,120000,132.3600000
GAZP,60,20171201,130000,132.5400000
GAZP,60,20171201,140000,132.0600000
GAZP,60,20171201,150000,132.3300000
GAZP,60,20171201,160000,132.5000000
